ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
186	"ENSG00000128829.12"	"EIF2AK4"	chr15	+	40002390	40002788	40002390	40002510	40002712	40002788
187	"ENSG00000109133.13"	"TMEM33"	chr4	+	41935128	41935529	41935128	41935262	41935466	41935529
188	"ENSG00000109133.13"	"TMEM33"	chr4	+	41935128	41935529	41935128	41935310	41935466	41935529
189	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21210555	21211306	21210555	21211235	21211237	21211306
190	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21263310	21263829	21263310	21263336	21263666	21263829
191	"ENSG00000206140.11"	"TMEM191C"	chr22	+	21468943	21469346	21468943	21469062	21469273	21469346
192	"ENSG00000206140.11"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468202	21468314	21468431
193	"ENSG00000206140.11"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468017	21468314	21468431
194	"ENSG00000206140.11"	"TMEM191C"	chr22	+	21468943	21469346	21468943	21469003	21469273	21469346
195	"ENSG00000206140.11"	"TMEM191C"	chr22	+	21469273	21469534	21469273	21469346	21469493	21469534
196	"ENSG00000206140.11"	"TMEM191C"	chr22	+	21467893	21468202	21467893	21468017	21468151	21468202
197	"ENSG00000206140.11"	"TMEM191C"	chr22	+	21469493	21469933	21469493	21469534	21469616	21469933
198	"ENSG00000143575.15"	"HAX1"	chr1	+	154273335	154273961	154273335	154273534	154273773	154273961
199	"ENSG00000143575.15"	"HAX1"	chr1	+	154274949	154275260	154274949	154275001	154275077	154275260
200	"ENSG00000143575.15"	"HAX1"	chr1	+	154274949	154275260	154274949	154275001	154275153	154275260
201	"ENSG00000143575.15"	"HAX1"	chr1	+	154273335	154273961	154273335	154273598	154273773	154273961
202	"ENSG00000143575.15"	"HAX1"	chr1	+	154275153	154275483	154275153	154275260	154275392	154275483
203	"ENSG00000143575.15"	"HAX1"	chr1	+	154273335	154273961	154273335	154273598	154273749	154273961
204	"ENSG00000153179.13"	"RASSF3"	chr12	+	64610512	64610743	64610512	64610541	64610618	64610743
205	"ENSG00000168268.11"	"NT5DC2"	chr3	-	52527616	52527931	52527616	52527718	52527828	52527931
206	"ENSG00000187994.14"	"RINL"	chr19	-	38876330	38876781	38876330	38876490	38876692	38876781
207	"ENSG00000187994.14"	"RINL"	chr19	-	38876330	38876781	38876330	38876474	38876692	38876781
208	"ENSG00000100124.15"	"ANKRD54"	chr22	-	37832957	37833206	37832957	37833082	37833158	37833206
209	"ENSG00000100099.20"	"HPS4"	chr22	-	26465454	26466262	26465454	26465551	26466225	26466262
210	"ENSG00000100099.20"	"HPS4"	chr22	-	26466225	26468623	26466225	26466262	26468550	26468623
211	"ENSG00000163479.14"	"SSR2"	chr1	-	156011809	156012565	156011809	156011887	156012394	156012565
212	"ENSG00000163479.14"	"SSR2"	chr1	-	156011809	156012565	156011809	156011887	156012384	156012565
213	"ENSG00000237772.2"	"LINC02631"	chr2	+	138601617	138602441	138601617	138601835	138602268	138602441
214	"ENSG00000141837.21"	"CACNA1A"	chr19	-	13210616	13212216	13210616	13210652	13212102	13212216
215	"ENSG00000172785.18"	"CBWD1"	chr9	-	121088	122090	121088	121573	121960	122090
216	"ENSG00000141698.17"	"NT5C3B"	chr17	-	41835587	41835957	41835587	41835682	41835858	41835957
217	"ENSG00000103310.10"	"ZP2"	chr16	-	21209630	21210192	21209630	21209725	21210108	21210192
218	"ENSG00000130787.14"	"HIP1R"	chr12	+	122860422	122860784	122860422	122860523	122860678	122860784
219	"ENSG00000130787.14"	"HIP1R"	chr12	+	122860046	122860210	122860046	122860077	122860147	122860210
220	"ENSG00000149761.9"	"NUDT22"	chr11	+	64226289	64227132	64226289	64226427	64226634	64227132
221	"ENSG00000166049.11"	"PASD1"	chrX	+	151672182	151674186	151672182	151672661	151673927	151674186
222	"ENSG00000115073.8"	"ACTR1B"	chr2	-	97658426	97659003	97658426	97658643	97658878	97659003
223	"ENSG00000111732.11"	"AICDA"	chr12	-	8604806	8605485	8604806	8604922	8605214	8605485
224	"ENSG00000111732.11"	"AICDA"	chr12	-	8604806	8605485	8604806	8604892	8605214	8605485
225	"ENSG00000176697.19"	"BDNF"	chr11	-	27654892	27659658	27654892	27658585	27658819	27659658
226	"ENSG00000070761.8"	"CFAP20"	chr16	-	58114809	58115457	58114809	58114920	58115268	58115457
227	"ENSG00000123297.19"	"TSFM"	chr12	+	57783614	57784170	57783614	57783652	57783940	57784170
228	"ENSG00000103266.11"	"STUB1"	chr16	+	681792	682076	681792	681880	682019	682076
229	"ENSG00000103266.11"	"STUB1"	chr16	+	681792	682076	681792	681880	682058	682076
230	"ENSG00000103266.11"	"STUB1"	chr16	+	681792	682076	681792	681903	682019	682076
231	"ENSG00000109846.9"	"CRYAB"	chr11	-	111910326	111911922	111910326	111910449	111911523	111911922
232	"ENSG00000178467.18"	"P4HTM"	chr3	+	49004860	49005867	49004860	49005046	49005776	49005867
233	"ENSG00000178467.18"	"P4HTM"	chr3	+	49004860	49005867	49004860	49005170	49005717	49005867
234	"ENSG00000161202.20"	"DVL3"	chr3	+	184166445	184166673	184166445	184166522	184166605	184166673
235	"ENSG00000161202.20"	"DVL3"	chr3	+	184164795	184165206	184164795	184164931	184165112	184165206
236	"ENSG00000090097.21"	"PCBP4"	chr3	-	51960525	51960898	51960525	51960642	51960865	51960898
237	"ENSG00000090097.21"	"PCBP4"	chr3	-	51960525	51960898	51960525	51960637	51960865	51960898
238	"ENSG00000090097.21"	"PCBP4"	chr3	-	51959894	51960320	51959894	51960023	51960188	51960320
239	"ENSG00000249378.6"	"LINC01060"	chr4	+	188485778	188486620	188485778	188485865	188486095	188486620
240	"ENSG00000073756.12"	"PTGS2"	chr1	-	186675897	186676713	186675897	186676184	186676466	186676713
241	"ENSG00000174652.19"	"ZNF266"	chr19	-	9418761	9419299	9418761	9418895	9419050	9419299
242	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41239133	41239900	41239133	41239354	41239640	41239900
243	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41239133	41239904	41239133	41239354	41239659	41239904
244	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41239133	41239955	41239133	41239354	41239812	41239955
245	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41239133	41240443	41239133	41239354	41239818	41240443
246	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41224953	41225207	41224953	41224991	41225102	41225207
247	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41233340	41233867	41233340	41233444	41233528	41233867
248	"ENSG00000163518.11"	"FCRL4"	chr1	-	157578473	157578852	157578473	157578542	157578769	157578852
249	"ENSG00000184163.3"	"C1QTNF12"	chr1	-	1243953	1244275	1243953	1244105	1244190	1244275
250	"ENSG00000006283.18"	"CACNA1G"	chr17	+	50626016	50626766	50626016	50626082	50626319	50626766
251	"ENSG00000205517.12"	"RGL3"	chr19	-	11416613	11417059	11416613	11416667	11416835	11417059
252	"ENSG00000205517.12"	"RGL3"	chr19	-	11416613	11417059	11416613	11416662	11416835	11417059
253	"ENSG00000135506.16"	"OS9"	chr12	+	57695961	57696373	57695961	57696038	57696274	57696373
254	"ENSG00000135506.16"	"OS9"	chr12	+	57695961	57696373	57695961	57695976	57696274	57696373
255	"ENSG00000135506.16"	"OS9"	chr12	+	57715759	57716193	57715759	57715970	57716088	57716193
256	"ENSG00000135506.16"	"OS9"	chr12	+	57715759	57716193	57715759	57715970	57716091	57716193
257	"ENSG00000135506.16"	"OS9"	chr12	+	57718992	57720263	57718992	57719182	57720098	57720263
258	"ENSG00000139200.13"	"PIANP"	chr12	-	6693791	6695651	6693791	6695057	6695429	6695651
259	"ENSG00000142102.16"	"PGGHG"	chr11	+	290677	291113	290677	290781	291001	291113
260	"ENSG00000142102.16"	"PGGHG"	chr11	+	293162	293727	293162	293235	293669	293727
261	"ENSG00000142102.16"	"PGGHG"	chr11	+	290677	292095	290677	291113	291975	292095
262	"ENSG00000154099.18"	"DNAAF1"	chr16	+	84169858	84170356	84169858	84170053	84170241	84170356
263	"ENSG00000196118.12"	"CCDC189"	chr16	-	30759341	30759724	30759341	30759458	30759653	30759724
