ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
61	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70077300	70077381	70083506	70083687	70059642	70059680	70085546	70085624
62	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70077300	70077381	70083537	70083687	70051202	70051305	70085546	70085624
63	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70077300	70077381	70083506	70083687	70051202	70051305	70085546	70085624
64	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964230	69964427	69988445	69988505	69963253	69963500	69996685	69996888
65	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964230	69964427	69988741	69988838	69963253	69963500	69996685	69996888
66	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964230	69964427	69975558	69975635	69963253	69963500	69996685	69996888
67	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964230	69964427	69968398	69968520	69963253	69963500	69996685	69996888
68	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964230	69964427	69996685	69996888	69963253	69963500	70018014	70018131
69	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964230	69964427	69988445	69988505	69963253	69963500	69988741	69988838
70	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964230	69964427	69975558	69975635	69963253	69963500	69988741	69988838
71	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964230	69964427	69975558	69975635	69963281	69963500	70018014	70018131
72	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69996685	69996888	70032132	70032255	69988741	69988838	70051202	70051305
73	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69996685	69996888	70018014	70018131	69975558	69975635	70051202	70051305
74	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69996685	69996888	70018014	70018131	69963253	69963500	70051202	70051305
75	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69996685	69996888	70018014	70018131	69964230	69964427	70051202	70051305
76	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055655	70055910	70083537	70083687	70051202	70051305	70085546	70085624
77	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055655	70055910	70083506	70083687	70051202	70051305	70085546	70085624
78	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055655	70055910	70059642	70059680	70051202	70051305	70085546	70085624
79	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055655	70055910	70059642	70059680	70051202	70051305	70077300	70077381
80	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055655	70055910	70059642	70059680	70053730	70053792	70085546	70085624
81	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055655	70055910	70083537	70083687	70053730	70053792	70085546	70085624
82	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055655	70055910	70083537	70083687	70053730	70053815	70085546	70085624
83	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964368	69964427	69975558	69975635	69963281	69963500	69988741	69988838
84	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69964368	69964427	69988445	69988505	69963281	69963500	69988741	69988838
85	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70011654	70011718	70015447	70015580	69996685	69996888	70018014	70018131
86	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69975558	69975635	69988741	69988838	69963281	69963500	69996685	69996888
87	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69975558	69975635	69988445	69988505	69963281	69963500	69996685	69996888
88	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69975558	69975635	69988445	69988505	69963281	69963500	69988741	69988838
89	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69975558	69975635	69996685	69996888	69963281	69963500	70018014	70018131
90	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69988445	69988505	69988741	69988838	69963253	69963500	69996685	69996888
91	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69988445	69988505	69988741	69988838	69975558	69975635	69996685	69996888
92	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053815	70059642	70059680	70051202	70051305	70083537	70083687
93	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053815	70077300	70077381	70051202	70051305	70083537	70083687
94	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70018014	70018131	70032132	70032255	69996685	69996888	70051202	70051305
95	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70018014	70018131	70051202	70051305	69996685	69996888	70077300	70077381
96	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70018014	70018131	70051202	70051305	69996685	69996888	70055713	70055910
97	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70011654	70011752	70032132	70032255	69996685	69996888	70051202	70051305
98	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70011654	70011752	70018014	70018131	69996685	69996888	70051202	70051305
99	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70051202	70051305	70077300	70077381	70018014	70018131	70083537	70083687
100	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70051202	70051305	70055713	70055910	70018014	70018131	70059642	70059680
101	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69988741	69988838	69996685	69996888	69975558	69975635	70032132	70032255
102	"ENSG00000103168.16"	"TAF1C"	chr16	-	84180867	84180995	84181042	84181186	84180169	84180344	84181327	84181663
103	"ENSG00000140471.17"	"LINS1"	chr15	-	100580443	100580736	100580800	100580945	100580262	100580352	100602120	100602174
104	"ENSG00000204147.10"	"ASAH2B"	chr10	+	50743672	50743741	50744696	50744732	50742914	50743010	50745127	50745274
105	"ENSG00000266602.2"	"AP005262.2"	chr18	+	1626238	1626367	1649685	1649793	1566451	1566524	1773671	1774069
106	"ENSG00000266602.2"	"AP005262.2"	chr18	+	1649685	1649793	1690602	1690676	1566451	1566524	1824777	1824852
107	"ENSG00000266602.2"	"AP005262.2"	chr18	+	1649685	1649793	1824777	1824852	1566451	1566524	1871805	1871931
108	"ENSG00000000419.12"	"DPM1"	chr20	-	50941128	50941209	50942030	50942126	50940864	50940933	50945736	50945762
109	"ENSG00000204054.14"	"LINC00963"	chr9	+	129503258	129503295	129503322	129503672	129493418	129493595	129504891	129505043
110	"ENSG00000242593.7"	"AC006148.1"	chr7	+	124077246	124077372	124334246	124334390	124049131	124049224	124352815	124352851
111	"ENSG00000242593.7"	"AC006148.1"	chr7	+	124244449	124244724	124255215	124255256	124049131	124049224	124306477	124306591
112	"ENSG00000010810.17"	"FYN"	chr6	-	111699514	111699670	111700103	111700268	111696276	111696456	111702884	111703034
113	"ENSG00000254654.2"	"LINC02685"	chr11	+	44974795	44974893	44977308	44977402	44973769	44974407	44977487	44978028
114	"ENSG00000161533.12"	"ACOX1"	chr17	-	75960214	75960375	75973624	75973785	75957458	75957566	75978533	75978693
115	"ENSG00000163531.15"	"NFASC"	chr1	+	204991291	204991306	205002595	205002748	204988632	204988806	205009556	205009688
116	"ENSG00000104671.8"	"DCTN6"	chr8	+	30175084	30175190	30177125	30177214	30164110	30164175	30179407	30179455
117	"ENSG00000133706.18"	"LARS1"	chr5	-	146168127	146168265	146171909	146171990	146164309	146164471	146172686	146172774
118	"ENSG00000169398.19"	"PTK2"	chr8	-	140746759	140746860	140752231	140752316	140744651	140744767	140761164	140761262
119	"ENSG00000204136.10"	"GGTA1P"	chr9	-	121452143	121452281	121455654	121455841	121444990	121447597	121460103	121460219
120	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191557261	191557288	191559677	191559754	191425527	191425604	191569599	191569824
121	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191559677	191559969	191568205	191568341	191557261	191557384	191569599	191569824
122	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191530815	191530850	191546050	191546115	191425527	191425604	191557261	191557384
123	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191473550	191473688	191530815	191530850	191425527	191425604	191557261	191557384
124	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191473550	191473688	191546050	191546115	191425527	191425604	191557261	191557384
125	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191546050	191546115	191557261	191557384	191425524	191425604	191569599	191569824
126	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191546050	191546115	191568205	191568341	191425524	191425604	191569599	191569824
127	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191546050	191546115	191557261	191557288	191425527	191425604	191569599	191569824
128	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191546050	191546115	191559677	191559754	191425527	191425604	191569599	191569824
129	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191559677	191559754	191568205	191568341	191557261	191557384	191569599	191569824
130	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191557261	191557384	191559677	191559754	191425527	191425604	191569599	191569824
131	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191557261	191557384	191568205	191568341	191425524	191425604	191569599	191569824
132	"ENSG00000223812.8"	"AC073365.1"	chr3	+	191559677	191559750	191568205	191568341	191557261	191557384	191569599	191569824
133	"ENSG00000226835.3"	"ARHGAP29-AS1"	chr1	+	94250378	94250544	94257960	94258029	94249412	94249519	94333308	94333409
134	"ENSG00000072864.15"	"NDE1"	chr16	+	15651468	15651584	15651930	15652050	15650246	15650294	15664735	15664861
135	"ENSG00000103599.20"	"IQCH"	chr15	+	67304338	67304455	67336974	67337095	67279394	67279512	67344062	67344191
136	"ENSG00000128595.17"	"CALU"	chr7	+	128754261	128754455	128754528	128754722	128748572	128748804	128758870	128759037
137	"ENSG00000076067.13"	"RBMS2"	chr12	+	56571697	56571855	56580277	56580375	56569898	56569990	56581183	56581263
138	"ENSG00000128284.19"	"APOL3"	chr22	-	36149770	36149964	36153284	36153423	36149258	36149371	36160668	36160755
139	"ENSG00000141198.16"	"TOM1L1"	chr17	+	54905488	54905567	54912665	54912815	54903707	54903792	54913747	54913873
140	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40209966	40210024	40223629	40223751	40104908	40104962	40251683	40251732
141	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40114001	40114103	40209966	40210024	40104908	40104962	40223629	40223751
142	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40114001	40114103	40223629	40223751	40104908	40104962	40251683	40251729
143	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40223629	40223751	40250298	40250509	40209966	40210024	40251683	40251757
144	"ENSG00000155465.18"	"SLC7A7"	chr14	-	22819637	22819756	22821121	22821232	22815319	22815451	22823023	22823072
145	"ENSG00000169347.16"	"GP2"	chr16	-	20323815	20324202	20326337	20326467	20322868	20322979	20327466	20327507
146	"ENSG00000169347.16"	"GP2"	chr16	-	20323380	20323389	20323815	20324256	20322868	20322979	20326337	20326467
147	"ENSG00000169347.16"	"GP2"	chr16	-	20323380	20323389	20323815	20324061	20322868	20322979	20326337	20326467
148	"ENSG00000116754.13"	"SRSF11"	chr1	+	70231094	70231203	70231858	70231975	70228421	70228555	70232267	70232377
149	"ENSG00000126391.14"	"FRMD8"	chr11	+	65389360	65389528	65393572	65393674	65387036	65387121	65394040	65394099
150	"ENSG00000126391.14"	"FRMD8"	chr11	+	65389384	65389528	65393572	65393674	65387036	65387121	65394040	65394099
151	"ENSG00000197948.11"	"FCHSD1"	chr5	-	141642396	141642503	141643000	141643088	141641701	141641757	141644217	141644438
152	"ENSG00000251372.6"	"LINC00499"	chr4	+	138361295	138361402	138502011	138502121	138349717	138349850	138521555	138521698
153	"ENSG00000092208.17"	"GEMIN2"	chr14	+	39124991	39125036	39128279	39128348	39122429	39122543	39131957	39132068
154	"ENSG00000170180.22"	"GYPA"	chr4	-	144127877	144128035	144138160	144138340	144120489	144120588	144140598	144140674
155	"ENSG00000170180.22"	"GYPA"	chr4	-	144118713	144118752	144120489	144120588	144116853	144116939	144140598	144140635
156	"ENSG00000170180.22"	"GYPA"	chr4	-	144118713	144118752	144119685	144119781	144116853	144116939	144120489	144120588
157	"ENSG00000157216.15"	"SSBP3"	chr1	-	54257126	54257186	54258068	54258149	54251793	54251860	54281437	54281527
158	"ENSG00000174123.11"	"TLR10"	chr4	-	38775774	38775963	38776109	38776426	38772238	38775652	38782920	38782990
159	"ENSG00000121578.13"	"B4GALT4"	chr3	-	119229846	119230244	119235144	119235227	119226808	119227041	119236852	119237070
160	"ENSG00000143643.13"	"TTC13"	chr1	-	230936157	230936264	230939385	230939496	230933778	230933861	230940439	230940556
161	"ENSG00000073417.15"	"PDE8A"	chr15	+	85089337	85089416	85091043	85091181	85083555	85083644	85097947	85098036
162	"ENSG00000107669.17"	"ATE1"	chr10	-	121898840	121898969	121899865	121899994	121870005	121870038	121902390	121902620
163	"ENSG00000268434.5"	"AC011530.1"	chr19	-	45780213	45780381	45782192	45782250	45779777	45779869	45785593	45785713
164	"ENSG00000115966.17"	"ATF2"	chr2	-	175114689	175114868	175117989	175118118	175111567	175111654	175118250	175118369
165	"ENSG00000115966.17"	"ATF2"	chr2	-	175136411	175136486	175147945	175147980	175130137	175130207	175151059	175151158
166	"ENSG00000126878.13"	"AIF1L"	chr9	+	131106187	131106265	131107897	131108165	131096801	131096863	131111596	131111663
167	"ENSG00000166278.15"	"C2"	chr6	+	31933866	31933965	31935922	31936061	31933609	31933783	31937318	31937459
168	"ENSG00000153214.11"	"TMEM87B"	chr2	+	112091711	112091783	112095227	112095299	112089624	112089718	112097043	112097152
169	"ENSG00000026751.17"	"SLAMF7"	chr1	+	160749820	160750093	160751344	160751448	160748193	160748514	160752185	160752248
170	"ENSG00000026751.17"	"SLAMF7"	chr1	+	160748193	160748514	160749820	160750093	160739056	160739356	160752185	160752248
171	"ENSG00000026751.17"	"SLAMF7"	chr1	+	160748193	160748514	160749820	160750093	160739056	160739356	160751344	160751448
172	"ENSG00000026751.17"	"SLAMF7"	chr1	+	160750303	160750423	160751344	160751448	160749820	160750093	160752185	160752248
173	"ENSG00000123352.17"	"SPATS2"	chr12	+	49371227	49371290	49454224	49454385	49366904	49367021	49460769	49461037
174	"ENSG00000123352.17"	"SPATS2"	chr12	+	49387053	49387137	49406472	49406565	49371227	49371290	49460769	49461037
175	"ENSG00000123352.17"	"SPATS2"	chr12	+	49387053	49387137	49441729	49441816	49371227	49371290	49460769	49461037
176	"ENSG00000123352.17"	"SPATS2"	chr12	+	49406472	49406565	49441729	49441816	49371227	49371290	49460769	49461037
177	"ENSG00000130294.16"	"KIF1A"	chr2	-	240728388	240728412	240734718	240734745	240726825	240726940	240737062	240737168
178	"ENSG00000090316.16"	"MAEA"	chr4	+	1315396	1315600	1322380	1322503	1311978	1312161	1327626	1327703
179	"ENSG00000090316.16"	"MAEA"	chr4	+	1315396	1315600	1322380	1322503	1311978	1312238	1327626	1327703
180	"ENSG00000090316.16"	"MAEA"	chr4	+	1322380	1322503	1327626	1327703	1315396	1315600	1332756	1332865
181	"ENSG00000189229.11"	"AC069277.1"	chr3	+	6697395	6697511	6697831	6697947	6694724	6694877	6710452	6710543
182	"ENSG00000189229.11"	"AC069277.1"	chr3	+	6697395	6697511	6706635	6706728	6694724	6694877	6710452	6710543
183	"ENSG00000189229.11"	"AC069277.1"	chr3	+	6697831	6697947	6706635	6706728	6694724	6694877	6710452	6710543
184	"ENSG00000189229.11"	"AC069277.1"	chr3	+	6694724	6694877	6710452	6710543	6507772	6507952	6717568	6717667
185	"ENSG00000189229.11"	"AC069277.1"	chr3	+	6706635	6706728	6710452	6710543	6694783	6694877	6717568	6717667
186	"ENSG00000172717.16"	"FAM71D"	chr14	+	67198971	67199130	67201430	67201747	67198135	67198320	67203093	67203293
187	"ENSG00000198561.14"	"CTNND1"	chr11	+	57791384	57791673	57794009	57794081	57761796	57762046	57795576	57795729
188	"ENSG00000102024.18"	"PLS3"	chrX	+	115624340	115624380	115629197	115629327	115622245	115622409	115629834	115629967
189	"ENSG00000102024.18"	"PLS3"	chrX	+	115610802	115610921	115614152	115614534	115610242	115610323	115622245	115622409
190	"ENSG00000120992.18"	"LYPLA1"	chr8	-	54063327	54063375	54065747	54065813	54062253	54062324	54100907	54100939
191	"ENSG00000120992.18"	"LYPLA1"	chr8	-	54062253	54062324	54063327	54063375	54055059	54055133	54065747	54065813
192	"ENSG00000214046.8"	"SMIM7"	chr19	-	16654034	16654125	16659394	16659447	16647095	16647261	16659958	16660000
193	"ENSG00000214046.8"	"SMIM7"	chr19	-	16655237	16655368	16659157	16659255	16654034	16654125	16659394	16659447
194	"ENSG00000109133.13"	"TMEM33"	chr4	+	41939195	41939383	41939720	41939828	41938601	41938696	41943746	41943814
195	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21236372	21236460	21262600	21262768	21233952	21234229	21263310	21263336
196	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21234768	21234831	21236372	21236460	21233952	21234229	21263310	21263336
197	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21234768	21234831	21262600	21262768	21233952	21234229	21263310	21263336
198	"ENSG00000137648.18"	"TMPRSS4"	chr11	+	118098984	118099098	118103100	118103253	118094821	118094855	118104690	118104820
199	"ENSG00000254101.7"	"LINC02055"	chr8	+	136089035	136089206	136153759	136153826	136047093	136047205	136162474	136162533
200	"ENSG00000254101.7"	"LINC02055"	chr8	+	136519147	136519239	136529794	136529941	136515965	136516300	136536977	136537059
201	"ENSG00000100124.15"	"ANKRD54"	chr22	-	37832957	37833109	37833158	37833206	37832636	37832744	37833683	37833755
202	"ENSG00000166676.16"	"TVP23A"	chr16	-	10774951	10775096	10808536	10808606	10774038	10774128	10818102	10818182
203	"ENSG00000166676.16"	"TVP23A"	chr16	-	10774951	10775547	10808536	10808606	10774038	10774128	10818102	10818182
204	"ENSG00000141837.21"	"CACNA1A"	chr19	-	13236448	13236618	13241520	13241526	13235613	13235730	13245181	13245265
205	"ENSG00000141837.21"	"CACNA1A"	chr19	-	13227430	13227527	13228698	13228795	13224666	13224772	13230081	13230209
206	"ENSG00000172785.18"	"CBWD1"	chr9	-	147900	148040	150508	150725	146101	146158	152033	152078
207	"ENSG00000172785.18"	"CBWD1"	chr9	-	147900	148040	151304	151427	146101	146158	152033	152078
208	"ENSG00000172785.18"	"CBWD1"	chr9	-	150508	150725	151304	151427	146101	146158	152033	152078
209	"ENSG00000172785.18"	"CBWD1"	chr9	-	163977	164037	164402	164448	162431	162469	172080	172172
210	"ENSG00000172785.18"	"CBWD1"	chr9	-	160000	160140	161566	161654	156480	156527	162431	162469
211	"ENSG00000104368.18"	"PLAT"	chr8	-	42187905	42188016	42188933	42189071	42182718	42182890	42191371	42191414
212	"ENSG00000151834.15"	"GABRA2"	chr4	-	46303459	46303612	46310172	46310255	46261925	46262128	46312495	46312716
213	"ENSG00000141698.17"	"NT5C3B"	chr17	-	41828789	41828952	41830800	41830890	41827425	41827626	41832391	41832477
214	"ENSG00000258644.6"	"SYNJ2BP-COX16"	chr14	-	70342657	70342729	70373032	70373131	70329173	70329236	70375675	70375771
215	"ENSG00000064225.12"	"ST3GAL6"	chr3	+	98773919	98773983	98784944	98785040	98772812	98772916	98788035	98788222
216	"ENSG00000130475.14"	"FCHO1"	chr19	+	17754316	17754361	17755075	17755191	17747717	17747814	17762761	17762853
217	"ENSG00000024048.10"	"UBR2"	chr6	+	42617239	42617338	42617408	42617507	42616001	42616090	42632551	42632715
218	"ENSG00000267057.6"	"LINC01905"	chr18	+	56091947	56092057	56095920	56095990	56088410	56088583	56096074	56096310
219	"ENSG00000145901.15"	"TNIP1"	chr5	-	151033479	151033579	151033607	151033799	151032286	151032383	151035001	151035067
220	"ENSG00000110080.18"	"ST3GAL4"	chr11	+	126407573	126407634	126408098	126408194	126407251	126407349	126408306	126408496
221	"ENSG00000006283.18"	"CACNA1G"	chr17	+	50619682	50619826	50621659	50621794	50618654	50619008	50623906	50624075
