ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
44	"ENSG00000184674.8"	"GSTT1"	chr22	-	24381699	24381787	24379360	24379450	24384119	24384284
45	"ENSG00000184674.8"	"GSTT1"	chr22	-	24376821	24376998	24376290	24376617	24379360	24379511
46	"ENSG00000184674.8"	"GSTT1"	chr22	-	24376821	24376998	24376290	24376617	24384119	24384258
47	"ENSG00000100330.11"	"MTMR3"	chr22	+	30419445	30419472	30418597	30418686	30421618	30426855
48	"ENSG00000100330.11"	"MTMR3"	chr22	+	30418017	30418128	30415468	30416873	30418597	30418686
49	"ENSG00000100330.11"	"MTMR3"	chr22	+	30353024	30353077	30279167	30279348	30366964	30367051
50	"ENSG00000100330.11"	"MTMR3"	chr22	+	30384468	30384551	30374924	30375041	30387492	30387617
51	"ENSG00000100330.11"	"MTMR3"	chr22	+	30366964	30367051	30353024	30353077	30374430	30374520
52	"ENSG00000100325.10"	"ASCC2"	chr22	-	30232426	30232489	30228233	30228331	30234166	30234263
53	"ENSG00000100325.10"	"ASCC2"	chr22	-	30230477	30230539	30229529	30229603	30234166	30234261
54	"ENSG00000100325.10"	"ASCC2"	chr22	-	30230477	30230539	30228233	30228331	30234166	30234261
55	"ENSG00000100325.10"	"ASCC2"	chr22	-	30221610	30221769	30221075	30221246	30228233	30228331
56	"ENSG00000100325.10"	"ASCC2"	chr22	-	30230430	30230539	30228233	30228331	30234166	30234263
57	"ENSG00000100325.10"	"ASCC2"	chr22	-	30229529	30229603	30228233	30228331	30234166	30234217
58	"ENSG00000100325.10"	"ASCC2"	chr22	-	30229529	30229603	30228233	30228331	30230477	30230539
59	"ENSG00000100325.10"	"ASCC2"	chr22	-	30211160	30211278	30210645	30210756	30211994	30212062
60	"ENSG00000100325.10"	"ASCC2"	chr22	-	30223465	30223589	30221682	30221769	30228233	30228331
61	"ENSG00000100325.10"	"ASCC2"	chr22	-	30228233	30228331	30221610	30221769	30229529	30229603
62	"ENSG00000100325.10"	"ASCC2"	chr22	-	30228233	30228331	30221610	30221769	30230430	30230539
63	"ENSG00000100325.10"	"ASCC2"	chr22	-	30228233	30228331	30221075	30221246	30234166	30234263
64	"ENSG00000117528.7"	"ABCD3"	chr1	+	94921288	94921360	94883968	94884144	94924162	94924199
65	"ENSG00000117528.7"	"ABCD3"	chr1	+	94924162	94924199	94884010	94884144	94930330	94930429
66	"ENSG00000157326.14"	"DHRS4"	chr14	+	24435491	24435626	24435140	24435192	24436419	24436475
67	"ENSG00000157326.14"	"DHRS4"	chr14	+	24434970	24435041	24429110	24429212	24435140	24435192
68	"ENSG00000157326.14"	"DHRS4"	chr14	+	24429110	24429212	24424243	24424421	24436419	24436475
69	"ENSG00000157326.14"	"DHRS4"	chr14	+	24429110	24429212	24424243	24424421	24434970	24435041
70	"ENSG00000157326.14"	"DHRS4"	chr14	+	24435140	24435192	24429110	24429212	24436419	24436475
71	"ENSG00000157326.14"	"DHRS4"	chr14	+	24436599	24436664	24436419	24436475	24437965	24438483
72	"ENSG00000128710.5"	"HOXD10"	chr2	+	176976110	176976244	176973604	176974086	176983681	176983971
73	"ENSG00000145191.7"	"EIF2B5"	chr3	+	183856634	183856727	183855953	183856034	183857867	183857945
74	"ENSG00000145191.7"	"EIF2B5"	chr3	+	183855219	183855318	183854399	183854524	183855407	183855593
75	"ENSG00000099956.13"	"SMARCB1"	chr22	+	24143130	24143322	24135745	24135875	24145481	24145609
76	"ENSG00000099956.13"	"SMARCB1"	chr22	+	24143130	24143268	24135745	24135875	24145481	24145609
77	"ENSG00000154370.9"	"TRIM11"	chr1	-	228588664	228588895	228584843	228584866	228589766	228593605
78	"ENSG00000154370.9"	"TRIM11"	chr1	-	228589766	228589862	228584843	228584866	228593854	228593888
79	"ENSG00000116885.14"	"OSCP1"	chr1	-	36886076	36886216	36884591	36884655	36887750	36887820
80	"ENSG00000116885.14"	"OSCP1"	chr1	-	36884591	36884655	36883510	36883856	36887750	36887820
81	"ENSG00000116885.14"	"OSCP1"	chr1	-	36913413	36913488	36904356	36904511	36915858	36915888
82	"ENSG00000116885.14"	"OSCP1"	chr1	-	36909604	36909634	36904356	36904511	36915858	36916034
83	"ENSG00000111266.4"	"DUSP16"	chr12	-	12653452	12653616	12639961	12640121	12672795	12672934
84	"ENSG00000111266.4"	"DUSP16"	chr12	-	12633156	12633280	12628828	12630949	12639961	12640121
85	"ENSG00000111266.4"	"DUSP16"	chr12	-	12707469	12707593	12674014	12674397	12713933	12714011
86	"ENSG00000161395.8"	"PGAP3"	chr17	-	37840849	37841002	37830869	37830932	37842174	37842272
87	"ENSG00000161395.8"	"PGAP3"	chr17	-	37830869	37830932	37830127	37830307	37840849	37841002
88	"ENSG00000161395.8"	"PGAP3"	chr17	-	37832866	37833008	37830869	37830932	37840849	37841002
89	"ENSG00000161395.8"	"PGAP3"	chr17	-	37842174	37842272	37840849	37841002	37844086	37844254
90	"ENSG00000186153.12"	"WWOX"	chr16	+	78148872	78149051	78143674	78143732	78198079	78198186
91	"ENSG00000186153.12"	"WWOX"	chr16	+	78142319	78142384	78133552	78133782	78143674	78143732
92	"ENSG00000186153.12"	"WWOX"	chr16	+	78198079	78198186	78148872	78149051	79245504	79246564
93	"ENSG00000186153.12"	"WWOX"	chr16	+	78790836	78790912	78148872	78149051	79245504	79246564
94	"ENSG00000010244.12"	"ZNF207"	chr17	+	30678483	30678648	30677193	30677345	30678761	30678931
95	"ENSG00000010244.12"	"ZNF207"	chr17	+	30693683	30693776	30692348	30692506	30694790	30695033
96	"ENSG00000010244.12"	"ZNF207"	chr17	+	30688486	30688534	30687910	30687986	30689932	30690003
97	"ENSG00000120899.13"	"PTK2B"	chr8	+	27180783	27180943	27179918	27180016	27183080	27183198
98	"ENSG00000120899.13"	"PTK2B"	chr8	+	27303310	27303436	27301722	27301788	27308265	27308412
99	"ENSG00000197323.6"	"TRIM33"	chr1	-	114963001	114963073	114952805	114952938	114964057	114964258
100	"ENSG00000197323.6"	"TRIM33"	chr1	-	114940561	114940612	114935398	114940482	114942078	114942231
101	"ENSG00000171163.11"	"ZNF692"	chr1	-	249152026	249152216	249151471	249151635	249152329	249152520
102	"ENSG00000171163.11"	"ZNF692"	chr1	-	249149756	249149834	249149578	249149657	249149923	249150145
103	"ENSG00000171163.11"	"ZNF692"	chr1	-	249144880	249144980	249144264	249144715	249148135	249148250
104	"ENSG00000171163.11"	"ZNF692"	chr1	-	249150571	249150621	249149926	249150145	249150712	249150761
105	"ENSG00000171163.11"	"ZNF692"	chr1	-	249150486	249150621	249149923	249150145	249150712	249150761
106	"ENSG00000171163.11"	"ZNF692"	chr1	-	249145061	249145146	249144880	249144980	249148135	249148250
107	"ENSG00000171163.11"	"ZNF692"	chr1	-	249152026	249152058	249151563	249151635	249152329	249152520
108	"ENSG00000258754.3"	"CTD-3049M7.1"	chr15	-	94344673	94344856	94304283	94304356	94364219	94364329
109	"ENSG00000114738.6"	"MAPKAPK3"	chr3	+	50684553	50684634	50684170	50684256	50685324	50686720
110	"ENSG00000150394.9"	"CDH8"	chr16	-	61760997	61761119	61747744	61747862	61823249	61823386
111	"ENSG00000213347.6"	"MXD3"	chr5	-	176737668	176737698	176737426	176737541	176738379	176738485
112	"ENSG00000169218.9"	"RSPO1"	chr1	-	38097515	38097694	38095239	38095621	38097958	38098025
113	"ENSG00000169218.9"	"RSPO1"	chr1	-	38079375	38079564	38076950	38078593	38079855	38080005
114	"ENSG00000061273.13"	"HDAC7"	chr12	-	48186320	48186452	48185653	48185787	48187151	48187325
115	"ENSG00000061273.13"	"HDAC7"	chr12	-	48192567	48192755	48192344	48192435	48213549	48213744
116	"ENSG00000061273.13"	"HDAC7"	chr12	-	48212902	48212925	48196006	48196057	48213549	48213763
117	"ENSG00000061273.13"	"HDAC7"	chr12	-	48178477	48178584	48177861	48178000	48179169	48179254
118	"ENSG00000061273.13"	"HDAC7"	chr12	-	48189688	48189799	48189369	48189550	48189989	48190081
119	"ENSG00000061273.13"	"HDAC7"	chr12	-	48196006	48196057	48192567	48192755	48213549	48213649
120	"ENSG00000061273.13"	"HDAC7"	chr12	-	48196006	48196057	48192567	48192755	48214336	48214395
121	"ENSG00000136895.14"	"GARNL3"	chr9	+	130111202	130111314	130107681	130107756	130116124	130116223
122	"ENSG00000136895.14"	"GARNL3"	chr9	+	130149471	130149610	130147305	130147424	130151182	130151398
123	"ENSG00000136895.14"	"GARNL3"	chr9	+	130118707	130118784	130117634	130117751	130119497	130119656
124	"ENSG00000136895.14"	"GARNL3"	chr9	+	130027230	130027300	130005357	130005528	130053446	130053521
125	"ENSG00000136895.14"	"GARNL3"	chr9	+	130027230	130027300	130005357	130005532	130053446	130053521
126	"ENSG00000174238.10"	"PITPNA"	chr17	-	1446313	1446321	1444859	1444934	1451589	1451681
127	"ENSG00000174238.10"	"PITPNA"	chr17	-	1461822	1461853	1456297	1456443	1465834	1466040
128	"ENSG00000174238.10"	"PITPNA"	chr17	-	1439078	1439135	1438734	1438812	1442162	1442246
129	"ENSG00000174238.10"	"PITPNA"	chr17	-	1464492	1464575	1461822	1461853	1465834	1465924
130	"ENSG00000174238.10"	"PITPNA"	chr17	-	1444935	1444943	1444859	1444934	1451589	1451681
131	"ENSG00000174238.10"	"PITPNA"	chr17	-	1444859	1444934	1442162	1442246	1451589	1451681
132	"ENSG00000106701.7"	"FSD1L"	chr9	+	108223800	108223896	108210382	108210516	108226516	108226612
133	"ENSG00000106701.7"	"FSD1L"	chr9	+	108241634	108241657	108234184	108234286	108246661	108246783
134	"ENSG00000106701.7"	"FSD1L"	chr9	+	108275879	108275912	108275087	108275217	108296776	108296874
135	"ENSG00000106701.7"	"FSD1L"	chr9	+	108275879	108275912	108275087	108275217	108296773	108296874
136	"ENSG00000168970.16"	"JMJD7-PLA2G4B"	chr15	+	42135323	42135421	42134390	42134789	42135873	42136009
137	"ENSG00000168970.16"	"JMJD7-PLA2G4B"	chr15	+	42134751	42134789	42134390	42134474	42135873	42136009
138	"ENSG00000168970.16"	"JMJD7-PLA2G4B"	chr15	+	42139534	42139721	42138866	42139033	42139846	42140341
139	"ENSG00000167700.4"	"MFSD3"	chr8	+	145735742	145735890	145734456	145735398	145735980	145736105
140	"ENSG00000142556.14"	"ZNF614"	chr19	-	52520828	52520950	52520253	52520612	52521260	52521356
141	"ENSG00000215790.2"	"SLC35E2"	chr1	-	1675689	1676107	1670674	1671143	1677162	1677358
142	"ENSG00000151491.8"	"EPS8"	chr12	-	15940896	15940944	15835826	15835906	15942094	15942322
143	"ENSG00000151491.8"	"EPS8"	chr12	-	15834159	15834236	15823789	15823857	15835826	15835906
144	"ENSG00000151491.8"	"EPS8"	chr12	-	15837102	15837236	15835826	15835906	15942094	15942315
145	"ENSG00000151491.8"	"EPS8"	chr12	-	15817956	15818040	15814959	15815033	15818689	15818826
146	"ENSG00000151491.8"	"EPS8"	chr12	-	15818689	15818826	15814959	15815033	15819373	15819439
147	"ENSG00000151491.8"	"EPS8"	chr12	-	15837130	15837236	15835826	15835906	15942094	15942322
148	"ENSG00000215296.5"	"TMCO5B"	chr15	-	33537521	33537639	33537095	33537214	33537955	33538098
149	"ENSG00000102879.11"	"CORO1A"	chr16	+	30195546	30195664	30194929	30195046	30196529	30196728
150	"ENSG00000102879.11"	"CORO1A"	chr16	+	30199681	30199897	30199512	30199570	30200180	30200285
151	"ENSG00000102879.11"	"CORO1A"	chr16	+	30197918	30198041	30196529	30196728	30198136	30198266
152	"ENSG00000102879.11"	"CORO1A"	chr16	+	30198136	30198266	30197918	30198041	30198359	30198544
153	"ENSG00000158089.10"	"GALNT14"	chr2	-	31348019	31348119	31215703	31215873	31360823	31360887
154	"ENSG00000158089.10"	"GALNT14"	chr2	-	31348019	31348119	31215703	31215873	31369787	31369844
155	"ENSG00000158089.10"	"GALNT14"	chr2	-	31348019	31348119	31215703	31215873	31352142	31352490
156	"ENSG00000158089.10"	"GALNT14"	chr2	-	31348019	31348119	31301799	31301932	31360823	31360887
157	"ENSG00000158089.10"	"GALNT14"	chr2	-	31189069	31189168	31181262	31181330	31215703	31215873
158	"ENSG00000158089.10"	"GALNT14"	chr2	-	31355495	31355578	31215703	31215873	31360823	31360921
159	"ENSG00000158089.10"	"GALNT14"	chr2	-	31337608	31337693	31215703	31215873	31348019	31348119
160	"ENSG00000158089.10"	"GALNT14"	chr2	-	31301799	31301932	31215703	31215873	31348019	31348119
161	"ENSG00000158089.10"	"GALNT14"	chr2	-	31301799	31301932	31215703	31215873	31360823	31360887
162	"ENSG00000158089.10"	"GALNT14"	chr2	-	31295928	31296041	31215703	31215873	31348019	31348119
163	"ENSG00000158089.10"	"GALNT14"	chr2	-	31215703	31215873	31189069	31189168	31337608	31337693
164	"ENSG00000101336.8"	"HCK"	chr20	+	30657490	30657554	30640044	30640289	30659464	30659585
165	"ENSG00000101336.8"	"HCK"	chr20	+	30642018	30642084	30640044	30640289	30659464	30659585
166	"ENSG00000130529.11"	"TRPM4"	chr19	+	49684605	49684718	49675265	49675365	49685834	49686179
167	"ENSG00000130529.11"	"TRPM4"	chr19	+	49699696	49700131	49693952	49694030	49703556	49703689
168	"ENSG00000130529.11"	"TRPM4"	chr19	+	49675265	49675365	49674834	49675026	49685834	49686012
169	"ENSG00000130529.11"	"TRPM4"	chr19	+	49671173	49671354	49669297	49669472	49671516	49671680
170	"ENSG00000130529.11"	"TRPM4"	chr19	+	49671516	49671680	49661448	49661516	49671809	49671993
171	"ENSG00000130529.11"	"TRPM4"	chr19	+	49671516	49671680	49669297	49669472	49671809	49671993
172	"ENSG00000130529.11"	"TRPM4"	chr19	+	49714271	49714344	49713966	49714099	49714420	49714526
173	"ENSG00000130529.11"	"TRPM4"	chr19	+	49669297	49669472	49661448	49661516	49671516	49671680
174	"ENSG00000130529.11"	"TRPM4"	chr19	+	49669297	49669472	49661448	49661516	49671809	49671993
175	"ENSG00000130529.11"	"TRPM4"	chr19	+	49693464	49693577	49692202	49692348	49693952	49694030
176	"ENSG00000135903.14"	"PAX3"	chr2	-	223066662	223066909	223065704	223066161	223084858	223085073
177	"ENSG00000134571.6"	"MYBPC3"	chr11	-	47364810	47364813	47364571	47364696	47365042	47365175
178	"ENSG00000153113.19"	"CAST"	chr5	+	95998055	95998201	95997777	95997869	96011242	96011305
179	"ENSG00000153113.19"	"CAST"	chr5	+	96076448	96076487	96075741	96075822	96076969	96077062
180	"ENSG00000153113.19"	"CAST"	chr5	+	96106234	96106306	96103610	96103703	96107347	96107383
181	"ENSG00000153113.19"	"CAST"	chr5	+	96082045	96082129	96078358	96078460	96083048	96083096
182	"ENSG00000153113.19"	"CAST"	chr5	+	96062497	96062563	96058342	96058402	96063192	96063234
183	"ENSG00000153113.19"	"CAST"	chr5	+	96064856	96064913	96063192	96063234	96065315	96065429
184	"ENSG00000153113.19"	"CAST"	chr5	+	96071875	96071944	96065315	96065429	96073552	96073651
185	"ENSG00000153113.19"	"CAST"	chr5	+	96066483	96066564	96065315	96065429	96071875	96071944
186	"ENSG00000153113.19"	"CAST"	chr5	+	96062457	96062563	96058342	96058402	96063192	96063234
187	"ENSG00000143183.12"	"TMCO1"	chr1	-	165728761	165728821	165723464	165723511	165737428	165737506
188	"ENSG00000143183.12"	"TMCO1"	chr1	-	165724090	165724227	165723464	165723511	165728761	165728821
189	"ENSG00000003096.9"	"KLHL13"	chrX	-	117162386	117162460	117079396	117079538	117250470	117250828
190	"ENSG00000003096.9"	"KLHL13"	chrX	-	117117442	117117508	117079396	117079538	117162386	117162458
191	"ENSG00000026036.16"	"RTEL1-TNFRSF6B"	chr20	+	62321439	62321563	62321102	62321218	62321646	62321794
192	"ENSG00000133318.9"	"RTN3"	chr11	+	63486173	63488504	63472322	63472379	63517462	63517670
193	"ENSG00000133318.9"	"RTN3"	chr11	+	63486173	63488504	63448954	63449250	63517462	63517670
194	"ENSG00000133318.9"	"RTN3"	chr11	+	63514418	63514496	63448929	63449250	63517462	63517670
195	"ENSG00000133318.9"	"RTN3"	chr11	+	63472322	63472379	63448954	63449250	63486173	63488504
196	"ENSG00000133318.9"	"RTN3"	chr11	+	63472322	63472379	63448954	63449250	63517462	63517670
197	"ENSG00000133318.9"	"RTN3"	chr11	+	63472322	63472379	63448954	63449250	63486452	63486661
198	"ENSG00000133318.9"	"RTN3"	chr11	+	63472322	63472379	63448954	63449250	63481442	63481638
199	"ENSG00000133318.9"	"RTN3"	chr11	+	63523583	63523642	63521133	63521180	63525627	63527357
200	"ENSG00000133318.9"	"RTN3"	chr11	+	63519978	63520117	63517462	63517670	63520540	63520610
201	"ENSG00000133318.9"	"RTN3"	chr11	+	63486452	63488504	63448967	63449250	63517462	63517670
202	"ENSG00000105819.9"	"PMPCB"	chr7	+	102948042	102948155	102944857	102944937	102949398	102949542
203	"ENSG00000198894.3"	"KIAA1737"	chr14	+	77576154	77576324	77571999	77572187	77579767	77579931
204	"ENSG00000198894.3"	"KIAA1737"	chr14	+	77566226	77566304	77564654	77564704	77571999	77572187
205	"ENSG00000198894.3"	"KIAA1737"	chr14	+	77566226	77566304	77565518	77565545	77571999	77572187
206	"ENSG00000111674.4"	"ENO2"	chr12	+	7031218	7031327	7030659	7030945	7031506	7031565
207	"ENSG00000111674.4"	"ENO2"	chr12	+	7025834	7026271	7025580	7025676	7026744	7026873
208	"ENSG00000168385.13"	"SEPT2"	chr2	+	242259617	242259702	242255342	242255397	242263630	242263656
209	"ENSG00000168385.13"	"SEPT2"	chr2	+	242259617	242259702	242255342	242255397	242265407	242265528
210	"ENSG00000168385.13"	"SEPT2"	chr2	+	242259617	242259702	242254769	242255025	242263630	242263656
211	"ENSG00000168385.13"	"SEPT2"	chr2	+	242259617	242259702	242254769	242255025	242265407	242265528
212	"ENSG00000168385.13"	"SEPT2"	chr2	+	242255836	242255970	242255319	242255397	242256913	242257014
213	"ENSG00000168385.13"	"SEPT2"	chr2	+	242255836	242255970	242255319	242255397	242263630	242263656
214	"ENSG00000168385.13"	"SEPT2"	chr2	+	242256913	242257014	242255360	242255397	242263630	242263656
215	"ENSG00000168385.13"	"SEPT2"	chr2	+	242256913	242257014	242254703	242255025	242263630	242263656
216	"ENSG00000168385.13"	"SEPT2"	chr2	+	242256913	242257014	242255836	242255970	242263630	242263656
217	"ENSG00000168385.13"	"SEPT2"	chr2	+	242255844	242255955	242255308	242255397	242256913	242257014
218	"ENSG00000168385.13"	"SEPT2"	chr2	+	242265407	242265528	242263630	242263656	242274540	242274627
219	"ENSG00000168385.13"	"SEPT2"	chr2	+	242265407	242265528	242255297	242255397	242274540	242274627
220	"ENSG00000168385.13"	"SEPT2"	chr2	+	242263630	242263656	242259617	242259702	242265407	242265528
221	"ENSG00000168385.13"	"SEPT2"	chr2	+	242263630	242263656	242255315	242255397	242265407	242265528
222	"ENSG00000168385.13"	"SEPT2"	chr2	+	242263630	242263656	242255315	242255397	242274540	242274627
223	"ENSG00000168385.13"	"SEPT2"	chr2	+	242263630	242263656	242254514	242255025	242265407	242265528
224	"ENSG00000168385.13"	"SEPT2"	chr2	+	242255836	242255955	242255296	242255397	242256913	242257014
225	"ENSG00000168385.13"	"SEPT2"	chr2	+	242255836	242255955	242254769	242255025	242256913	242257014
226	"ENSG00000168385.13"	"SEPT2"	chr2	+	242275389	242275513	242274540	242274627	242276796	242276931
227	"ENSG00000168385.13"	"SEPT2"	chr2	+	242274736	242274766	242274540	242274627	242275389	242275513
228	"ENSG00000168385.13"	"SEPT2"	chr2	+	242275373	242275513	242274540	242274627	242276796	242276910
229	"ENSG00000168385.13"	"SEPT2"	chr2	+	242285580	242285664	242283166	242283312	242287548	242287606
230	"ENSG00000168385.13"	"SEPT2"	chr2	+	242255836	242255990	242255373	242255397	242256913	242256953
231	"ENSG00000168385.13"	"SEPT2"	chr2	+	242263823	242264077	242263630	242263656	242265407	242265528
232	"ENSG00000168385.13"	"SEPT2"	chr2	+	242257651	242257759	242256913	242257014	242263630	242263656
233	"ENSG00000168385.13"	"SEPT2"	chr2	+	242265381	242265528	242263630	242263656	242274540	242274627
234	"ENSG00000137177.14"	"KIF13A"	chr6	-	17794479	17794626	17788006	17788106	17794802	17794935
235	"ENSG00000137177.14"	"KIF13A"	chr6	-	17898398	17898411	17873493	17873668	17987284	17987308
236	"ENSG00000137177.14"	"KIF13A"	chr6	-	17771344	17771449	17764385	17765177	17772138	17772290
237	"ENSG00000137177.14"	"KIF13A"	chr6	-	17790102	17790141	17788006	17788106	17794479	17794626
238	"ENSG00000150656.10"	"CNDP1"	chr18	+	72223572	72223701	72201737	72201926	72226557	72226707
239	"ENSG00000150656.10"	"CNDP1"	chr18	+	72228090	72228253	72226557	72226707	72229281	72229370
240	"ENSG00000154957.9"	"ZNF18"	chr17	-	11886613	11886724	11880755	11882061	11887429	11887514
241	"ENSG00000154957.9"	"ZNF18"	chr17	-	11896818	11896971	11895856	11896228	11900747	11900792
242	"ENSG00000154957.9"	"ZNF18"	chr17	-	11886613	11886721	11880768	11882061	11887429	11887514
243	"ENSG00000128000.11"	"ZNF780B"	chr19	-	40561322	40561483	40556230	40556284	40562007	40562082
244	"ENSG00000128000.11"	"ZNF780B"	chr19	-	40554824	40554963	40554576	40554703	40556230	40556284
245	"ENSG00000161574.11"	"CCL15-CCL14"	chr17	-	34312783	34312831	34311373	34311488	34313606	34313740
246	"ENSG00000127528.5"	"KLF2"	chr19	+	16436026	16436843	16435627	16435809	16437666	16438685
247	"ENSG00000239521.3"	"GATS"	chr7	-	99810669	99810756	99809321	99809617	99820219	99820343
248	"ENSG00000239521.3"	"GATS"	chr7	-	99820219	99820343	99799935	99800226	99821192	99821321
249	"ENSG00000239521.3"	"GATS"	chr7	-	99821192	99821321	99820219	99820343	99821504	99821566
250	"ENSG00000134825.9"	"TMEM258"	chr11	-	61557256	61557462	61556601	61556707	61557846	61558074
251	"ENSG00000118260.10"	"CREB1"	chr2	+	208439995	208440178	208434902	208435045	208442228	208442379
252	"ENSG00000118260.10"	"CREB1"	chr2	+	208399325	208399407	208394827	208394858	208420351	208420473
253	"ENSG00000118260.10"	"CREB1"	chr2	+	208436457	208436582	208434902	208435045	208439995	208440178
254	"ENSG00000118260.10"	"CREB1"	chr2	+	208441833	208441948	208441354	208441417	208442228	208442379
255	"ENSG00000118260.10"	"CREB1"	chr2	+	208425842	208425884	208424949	208425096	208432186	208432287
256	"ENSG00000118260.10"	"CREB1"	chr2	+	208420351	208420473	208394615	208394858	208424949	208425096
257	"ENSG00000132698.9"	"RAB25"	chr1	+	156035701	156035897	156030950	156031234	156038060	156038254
258	"ENSG00000165891.11"	"E2F7"	chr12	-	77419337	77419762	77415026	77417965	77421662	77421918
259	"ENSG00000165891.11"	"E2F7"	chr12	-	77438025	77438049	77436844	77436979	77438416	77438575
260	"ENSG00000170417.10"	"TMEM182"	chr2	+	103374847	103374932	103353369	103353472	103379045	103379145
261	"ENSG00000170417.10"	"TMEM182"	chr2	+	103414321	103414459	103380787	103380886	103431206	103434125
